assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,"UNVERIFIED: Mesua ferrea voucher DNAFR000043 ribulose-1,5-biophosphate carboxylase/oxygenase large subunit-like gene, complete sequence plastid.",,,,PreservedSpecimen,2010,72.63,23.18
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,UNVERIFIED: Mesua ferrea voucher GU-IITG-LLB-007 chloroplast sequence.,,,,PreservedSpecimen,2014,91.66,26.15
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Vernay-Cutting Expedition to North Burma.,,,NY,PreservedSpecimen,1939,97.947859,25.721589
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,,,,BJM,PreservedSpecimen,1955,100.8,22.02
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,,,,E,PreservedSpecimen,1961,98.5,14.0
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,,,,E,PreservedSpecimen,1962,97.333333,26.666667
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,,,,G,PreservedSpecimen,,80.70472,7.60806
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,,,,G,PreservedSpecimen,,111.26306,-7.50278
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,,,,HIFP,PreservedSpecimen,1974,77.355822,8.626822
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,,,,HIFP,PreservedSpecimen,1975,77.040854,10.391247
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,,,,HIFP,PreservedSpecimen,1978,75.092556,13.543989
