internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
145290519,Beilschmiedia sikkimensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Beilschmiedia,sikkimensis,,,,,King ex Hook.f.,
145301615,Cinnamomum bhaskarii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cinnamomum,bhaskarii,,,,,M.Gangop.,
145301728,Cinnamomum bishnupadae,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cinnamomum,bishnupadae,,,,,M.Gangop.,
145301965,Cinnamomum blandfordii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cinnamomum,blandfordii,,,,,M.Gangop.,
145310645,Cinnamomum kingdon-wardii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cinnamomum,kingdon-wardii,,,,,Kosterm.,
145311979,Cinnamomum lohitensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cinnamomum,lohitensis,,,,,M.Gangop.,
145344026,Cinnamomum sanjappae,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cinnamomum,sanjappae,,,,,M.Gangop.,
145404323,Cinnamomum suvrae,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cinnamomum,suvrae,,,,,M.Gangop.,
37611,Euphorbia vajravelui,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Euphorbia,vajravelui,,,,,Binojk. &amp; N.P.Balakr.,This species has two varieties; <em>Euphorbia vajravelui</em> var. <em>theniensis</em> B.De Jong &amp; R.W.Stewart and <em>Euphorbia vajravelui</em> var. <em>vajravelui.</em>
149680126,Mysticellus franki,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Mysticellus,franki,,,,,"Garg &amp; Biju, 2019",
149682598,Leptobrachella lateralis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Leptobrachella,lateralis,,,,,"(Anderson, 1871)",The holotype of this species was lost and the type locality is unknown. It was suspected to potentially be in the surroundings of Bhamo in Myanmar but this has not been confirmed. A neotype was assigned by Humtsoe <em>et al. </em>(2008) from Nagaland in northeast India.
31200,Syzygium palghatense,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Syzygium,palghatense,,,,,Gamble,"Gamble, in 1918, named the species as <em>Syzygium palghatense</em> based on the herbarium specimen collected by Beddome (1872; K! 254) which was described earlier as <em>Eugenia beddomei</em> by Duthie in 1878. The species was rediscovered after a lapse of 140 years with a first time description of the mature fruits (Sujanapal and Sasidharan 2002)."
32866,Syzygium bourdillonii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Syzygium,bourdillonii,,,,,(Gamble) Rathakr. &amp; Nair,
150087536,Megophrys flavipunctata,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Megophrys,flavipunctata,,,,,"Mahony, Kamei, Teeling &amp; Biju, 2018","This is a split from the broader concept of&#160;<em>Megophrys major</em>&#160;(Mahony&#160;<em>et al.</em>&#160;2018).&#160;<br/><br/>Lyu&#160;<em>et al</em>. (2021) listed this species in&#160;<em>Xenophrys&#160;</em>without comment, and this work was not a revision of&#160;<em>Megophrys</em>. This assessment retains it in&#160;<em>Megophrys</em>&#160;until generic boundaries are more stable."
150087712,Megophrys himalayana,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Megophrys,himalayana,,,,,"Mahony, Kamei, Teeling &amp; Biju, 2018","This is a split from the broader concept of&#160;<em>Megophrys major</em>&#160;(Mahony&#160;<em>et al.</em>&#160;2018).<br/><br/>Lyu&#160;<em>et al</em>. (2021) listed this species in&#160;<em>Xenophrys&#160;</em>without comment, and this work was not a revision of&#160;<em>Megophrys</em>. This assessment retains it in&#160;<em>Megophrys</em>&#160;until generic boundaries are more stable."
150087877,Megophrys oreocrypta,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Megophrys,oreocrypta,,,,,"Mahony, Kamei, Teeling &amp; Biju, 2018","This is a split from the broader concept of <em>Megophrys major</em> (Mahony <em>et al.</em> 2018).<br/><br/>Lyu&#160;<em>et al</em>. (2021) listed this species in&#160;<em>Xenophrys&#160;</em>without comment, and this work was not a revision of&#160;<em>Megophrys</em>. This assessment retains it in&#160;<em>Megophrys</em>&#160;until generic boundaries are more stable."
150087897,Megophrys periosa,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Megophrys,periosa,,,,,"Mahony, Kamei, Teeling &amp; Biju, 2018","This is a split from the broader concept of&#160;<em>Megophrys major</em>&#160;(Mahony&#160;<em>et al.</em>&#160;2018).<br/><br/>Lyu&#160;<em>et al</em>. (2021) listed this species in&#160;<em>Xenophrys&#160;</em>without comment, and this work was not a revision of&#160;<em>Megophrys</em>. This assessment retains it in&#160;<em>Megophrys</em>&#160;until generic boundaries are more stable.<br/><br/>Mahony&#160;<em>et al</em>.&#160;(2018) assigned to&#160;<em>Megophrys&#160;cf.&#160;periosa</em>&#160;specimens found in the state of Manipur State in India at Pangkava ju in the Ukhrul district, and in the state of Kachin in northern Myanmar at Hepu Stream in Hepu village in the Myitkyina district, at 820 m asl, but their relation to&#160;<em>M. periosa</em>&#160;requires further taxonomic investigation (S. Mahony pers. comm. September 2020)."
150088659,Microhyla laterite,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Microhyla,laterite,,,,,"Seshadri, Singal, Priti, Ravikanth, Vidisha, Saurabh, Pratik &amp; Gururaja, 2016",
150213910,Alseodaphne owdenii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Alseodaphne,owdenii,,,,,R.Parker,
150215092,Lindera melastomacea,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Lindera,melastomacea,,,,,Fern.-Vill.,
152958245,Litsea membranifolia,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Litsea,membranifolia,,,,,Hook.f.,
153112765,Litsea coelestis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Litsea,coelestis,,,,,H.P.Tsui,
153115088,Litsea oleoides,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Litsea,oleoides,,,,,(Meisn.) Hook.f.,
153116010,Litsea assamica,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Litsea,assamica,,,,,Hook.f.,
153116061,Litsea mishmiensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Litsea,mishmiensis,,,,,Hook.f.,
209668480,Hylarana aurantiaca,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Hylarana,aurantiaca,,,,,"(Boulenger, 1904)",The subpopulations in Sri Lanka have been assigned to <em>Indosylvirana serendipi</em>&#160;and<em> Hydrophylax gracilis&#160;</em>(Biju <em>et al.</em> 2014). These species have all been moved from<em> Indosylvirana</em>&#160;and <em>Hydrophylax</em> back to <em>Hylarana</em> (Dubois <em>et al</em>. 2021).
155993997,Syzygium avene,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Syzygium,avene,,,,,Miq.,
157146680,Actinodaphne andamanica,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Actinodaphne,andamanica,,,,,M.Gangop.,
157150683,Actinodaphne longipes,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Actinodaphne,longipes,,,,,Kosterm.,
158847184,Vitex wimberleyi,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,LAMIACEAE,Vitex,wimberleyi,,,,,Kurz,
159051467,Callicarpa moldenkeana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,LAMIACEAE,Callicarpa,moldenkeana,,,,,A.Rajendran &amp; P.Daniel,
159074166,Cryptocarya andamanica,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cryptocarya,andamanica,,,,,Hook.f.,
159079094,Cryptocarya balakrishnanii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cryptocarya,balakrishnanii,,,,,M.Gangop. &amp; Chakrab.,
159079733,Cryptocarya burkillii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cryptocarya,burkillii,,,,,M.Gangop.,"<p>As the species is only known from one specimen, more taxonomic and fieldwork is needed to check the validity of the species.&#160;<strong></strong></p>"
159080036,Cryptocarya cavei,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cryptocarya,cavei,,,,,M.Gangop. &amp; Chakrab.,
159080601,Cryptocarya dekae,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cryptocarya,dekae,,,,,M.Gangop.,
159103471,Cryptocarya insularis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cryptocarya,insularis,,,,,Vasudeva Rao &amp; Chakrab.,
159104035,Cryptocarya lawsonii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cryptocarya,lawsonii,,,,,Gamble,
159121187,Cryptocarya simonsii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Cryptocarya,simonsii,,,,,M.Gangop.,
