internalTaxonId,habitatCode,habitatName,majorImportance,season,suitability
58788,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,Resident,Suitable
58788,3.6,Shrubland - Subtropical/Tropical Moist,Yes,Resident,Suitable
58829,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58829,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58847,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58847,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58847,14.3,Artificial/Terrestrial - Plantations,,Resident,Suitable
58847,14.4,Artificial/Terrestrial - Rural Gardens,,Resident,Suitable
58849,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58849,14.6,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,,Resident,Marginal
58849,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
58849,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58876,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58876,3.6,Shrubland - Subtropical/Tropical Moist,Yes,Resident,Suitable
58876,1.8,Forest - Subtropical/Tropical Swamp,Yes,Resident,Suitable
58903,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58903,14.6,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,,Resident,Suitable
58903,14.1,Artificial/Terrestrial - Arable Land,,Resident,Suitable
58903,4.7,Grassland - Subtropical/Tropical High Altitude,Yes,Resident,Suitable
58903,14.4,Artificial/Terrestrial - Rural Gardens,,Resident,Suitable
58926,4.7,Grassland - Subtropical/Tropical High Altitude,Yes,Resident,Suitable
58926,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58926,14.6,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,,Resident,Marginal
58926,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
58926,14.4,Artificial/Terrestrial - Rural Gardens,,Resident,Marginal
58927,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58927,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
58927,3.6,Shrubland - Subtropical/Tropical Moist,Yes,Resident,Suitable
58927,4.7,Grassland - Subtropical/Tropical High Altitude,Yes,Resident,Suitable
58983,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
58983,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
58983,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
58983,14.3,Artificial/Terrestrial - Plantations,,Resident,Suitable
58983,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
59027,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
59027,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
59027,14.3,Artificial/Terrestrial - Plantations,,Resident,Suitable
59027,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
61850,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
61850,14.1,Artificial/Terrestrial - Arable Land,,Resident,Unknown
61850,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
61850,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,Yes,Resident,Suitable
61885,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
61885,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
135879,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
135879,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
135879,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
