assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
145415833,145301965,Cinnamomum blandfordii,1.5,Forest - Subtropical/Tropical Dry,,,Suitable
145416111,145310645,Cinnamomum kingdon-wardii,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
145416166,145311979,Cinnamomum lohitensis,1.9,Forest - Subtropical/Tropical Moist Montane,,,Suitable
145416471,145344026,Cinnamomum sanjappae,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
145416576,145404323,Cinnamomum suvrae,1.9,Forest - Subtropical/Tropical Moist Montane,,,Suitable
147294060,37611,Euphorbia vajravelui,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
147294060,37611,Euphorbia vajravelui,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,,,Suitable
149680186,149680126,Mysticellus franki,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
149680186,149680126,Mysticellus franki,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
149682627,149682598,Leptobrachella lateralis,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
149682627,149682598,Leptobrachella lateralis,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
149682627,149682598,Leptobrachella lateralis,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Yes,Resident,Suitable
149812631,31200,Syzygium palghatense,1.9,Forest - Subtropical/Tropical Moist Montane,No,Resident,Suitable
149813923,32866,Syzygium bourdillonii,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
150087543,150087536,Megophrys flavipunctata,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,No,Resident,Suitable
150087543,150087536,Megophrys flavipunctata,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
150087783,150087712,Megophrys himalayana,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
150087783,150087712,Megophrys himalayana,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Yes,Resident,Suitable
150087885,150087877,Megophrys oreocrypta,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
150087885,150087877,Megophrys oreocrypta,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
150087902,150087897,Megophrys periosa,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
150087902,150087897,Megophrys periosa,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
150087902,150087897,Megophrys periosa,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
150088664,150088659,Microhyla laterite,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
150088664,150088659,Microhyla laterite,15.8,Artificial/Aquatic - Seasonally Flooded Agricultural Land,,Resident,Marginal
150088664,150088659,Microhyla laterite,14.5,Artificial/Terrestrial - Urban Areas,,Resident,Marginal
153622583,152958245,Litsea membranifolia,1.9,Forest - Subtropical/Tropical Moist Montane,,,Suitable
153622868,153115088,Litsea oleoides,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
153622903,153116010,Litsea assamica,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
153622908,153116061,Litsea mishmiensis,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
156580466,209668480,Hylarana aurantiaca,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Yes,Resident,Suitable
156580466,209668480,Hylarana aurantiaca,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
156580466,209668480,Hylarana aurantiaca,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,Resident,Suitable
156580466,209668480,Hylarana aurantiaca,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
156580466,209668480,Hylarana aurantiaca,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
156580466,209668480,Hylarana aurantiaca,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
156580466,209668480,Hylarana aurantiaca,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
156580466,209668480,Hylarana aurantiaca,1.8,Forest - Subtropical/Tropical Swamp,Yes,Resident,Suitable
157563361,157146680,Actinodaphne andamanica,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
157563506,157150683,Actinodaphne longipes,1.4,Forest - Temperate,,,Suitable
158892410,158847184,Vitex wimberleyi,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
159443752,159074166,Cryptocarya andamanica,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
159443782,159079094,Cryptocarya balakrishnanii,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
159443812,159079733,Cryptocarya burkillii,1.9,Forest - Subtropical/Tropical Moist Montane,,,Suitable
159443837,159080036,Cryptocarya cavei,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
159443877,159080601,Cryptocarya dekae,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
159443962,159103471,Cryptocarya insularis,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
159444007,159104035,Cryptocarya lawsonii,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
159444007,159104035,Cryptocarya lawsonii,1.5,Forest - Subtropical/Tropical Dry,,,Suitable
159444152,159121187,Cryptocarya simonsii,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
166095955,54478,Ghatophryne ornata,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
166095955,54478,Ghatophryne ornata,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
166095955,54478,Ghatophryne ornata,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
166096204,54584,Duttaphrynus beddomii,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
166096204,54584,Duttaphrynus beddomii,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
166096204,54584,Duttaphrynus beddomii,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
166096349,54593,Duttaphrynus brevirostris,14.5,Artificial/Terrestrial - Urban Areas,,Resident,Suitable
166096349,54593,Duttaphrynus brevirostris,1.6,Forest - Subtropical/Tropical Moist Lowland,,Resident,Suitable
166096349,54593,Duttaphrynus brevirostris,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),,Resident,Suitable
