internalTaxonId,scientificName,redlistCategory,redlistCriteria,kingdomName,phylumName,className,orderName,familyName,genusName,speciesEpithet,doi,populationTrend,hasImage
149680126,Mysticellus franki,Critically Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Mysticellus,franki,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T149680126A149680186.en,Decreasing,True
149682598,Leptobrachella lateralis,Critically Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Leptobrachella,lateralis,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T149682598A149682627.en,Decreasing,True
31200,Syzygium palghatense,Critically Endangered,B1ab(iii)+2ab(iii); D,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Syzygium,palghatense,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T31200A149812631.en,Unknown,True
32866,Syzygium bourdillonii,Endangered,"A2c; B2ab(i,ii,iii,iv,v); C2a(i)",PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Syzygium,bourdillonii,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T32866A149813923.en,Decreasing,True
150087536,Megophrys flavipunctata,Endangered,"B1ab(iii,v)",ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Megophrys,flavipunctata,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T150087536A150087543.en,Decreasing,True
150087712,Megophrys himalayana,Endangered,"B1ab(iii,v)",ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Megophrys,himalayana,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T150087712A150087783.en,Decreasing,True
150087877,Megophrys oreocrypta,Critically Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Megophrys,oreocrypta,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T150087877A150087885.en,Decreasing,True
150087897,Megophrys periosa,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Megophrys,periosa,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T150087897A150087902.en,Decreasing,False
150088659,Microhyla laterite,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Microhyla,laterite,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T150088659A150088664.en,Decreasing,True
150213910,Alseodaphne owdenii,Vulnerable,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Alseodaphne,owdenii,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T150213910A150219899.en,Unknown,False
150215092,Lindera melastomacea,Vulnerable,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Lindera,melastomacea,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T150215092A150219924.en,Unknown,False
152958245,Litsea membranifolia,Endangered,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Litsea,membranifolia,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T152958245A153622583.en,Unknown,False
153112765,Litsea coelestis,Vulnerable,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Litsea,coelestis,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T153112765A153622783.en,Unknown,False
153115088,Litsea oleoides,Vulnerable,B1ab(iii)+2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Litsea,oleoides,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T153115088A153622868.en,Unknown,True
153116010,Litsea assamica,Endangered,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Litsea,assamica,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T153116010A153622903.en,Unknown,False
153116061,Litsea mishmiensis,Critically Endangered,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Litsea,mishmiensis,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T153116061A153622908.en,Unknown,False
209668480,Hylarana aurantiaca,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Hylarana,aurantiaca,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T209668480A156580466.en,Decreasing,True
155993997,Syzygium avene,Vulnerable,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Syzygium,avene,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T155993997A156940901.en,Unknown,False
157146680,Actinodaphne andamanica,Vulnerable,D2,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Actinodaphne,andamanica,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T157146680A157563361.en,Unknown,False
157150683,Actinodaphne longipes,Vulnerable,B1ab(iii)+2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Actinodaphne,longipes,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T157150683A157563506.en,Unknown,True
